url,title,pathImg,price,producer,size,pin,chip,ram,memory
https://didongthongminh.vn/iphone-12-pro-128gb-cu-99-dep-nhu-moi,iPhone 12 Pro 128GB Cũ Nguyên Bản Đẹp Như Mới,https://didongthongminh.vn/images/products/2022/01/26/resized/iphone-12-pro-128gb-cu-graphit-chinh-hang_1643161955.jpg,19.490.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",2815 mAh ,Apple A14 Bionic 6 nhân ,6 GB ,128 GB 
https://didongthongminh.vn/iphone-13-512gb,iPhone 13 512GB Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/03/09/resized/iphone-13-xanh-la_1646815576.png,25.980.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",3240 mAh ,Apple A15 Bionic 6 nhân ,4 GB ,512 GB 
https://didongthongminh.vn/iphone-11-pro-max-cu-64gb-nguyen-ban-cam-ket-zin-100-dep-nhu-moi,iPhone 11 Pro Max Cũ Đẹp 64G,https://didongthongminh.vn/images/products/anhphu/resized/iphone-11-pro-max-gold-tao-vang-vn-f37b1a37-e8e7-499f-86f9-96c37b28dcdc.png?v=1635413638000,14.690.000đ ,iphone,"6.5"" ",3969 mAh ,Apple A13 Bionic 6 nhân ,4 GB ,64 GB 
https://didongthongminh.vn/iphone-se-3-chinh-hang,iPhone SE 3 64GB 2022 Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/03/09/resized/1_1646794479.jpg,10.990.000đ ,iphone,"4,7 inch ",,,3 GB ,64 GB 
https://didongthongminh.vn/iphone-13-pro-max-1tb-chinh-hang-vn-a,iPhone 13 Pro Max 1TB Chính hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/iphone-13-pro-max-1tb-seria-blue-chinh-hang_1643098734.jpg,42.890.000đ ,iphone,"6.7"" - Tần số quét 120 Hz ",4352 mAh ,Apple A15 Bionic 6 nhân ,6 GB ,1TB 
https://didongthongminh.vn/iphone-12-64gb-da-kich-hoat-fullbox,iPhone 12 64GB Đã Kích Hoạt Nguyên Hộp,https://didongthongminh.vn/images/products/2022/04/12/resized/4_1649756318.jpg,13.450.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",2815 mAh ,Apple A14 Bionic 6 nhân ,4 GB ,64 GB 
https://didongthongminh.vn/iphone-13-mini-256gb,iPhone 13 Mini 256GB Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/thumb-sp-9_1643079542.png,21.450.000đ ,iphone,"5.4"" - Tần số quét 60 Hz ",2438 mAh ,Apple A15 Bionic 6 nhân ,4 GB ,256 GB 
https://didongthongminh.vn/iphone-13-pro-256gb-tra-bao-hanh-chinh-hang,iPhone 13 Pro 256GB Trả bảo hành - Chính hãng VN/A,https://didongthongminh.vn/images/products/2022/04/21/resized/iphone-13-pro-trả-bảo-hành_1650513890.jpg,28.090.000đ ,iphone,"6.1"" - Tần số quét 120 Hz ",3095 mAh ,Apple A15 Bionic 6 nhân ,6 GB ,256 GB 
https://didongthongminh.vn/samsung-galaxy-a53-chinh-hang,Samsung Galaxy A53 5G 8GB 128GB Chính Hãng,https://didongthongminh.vn/images/products/2022/03/18/resized/a53-5g_1647593522.jpg,8.090.000đ ,samsung,"6.5"" ",5000 mAh ,,8 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-a73-chinh-hang,Samsung Galaxy A73 5G 8GB/128GB Chính Hãng,https://didongthongminh.vn/images/products/2022/04/09/resized/a73-5g_1649488344.png,10.190.000đ ,samsung,"6.7"" - Tần số quét 120 Hz ",5000 mAh ,,8 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-a33-chinh-hang,Samsung Galaxy A33 5G Chính Hãng,https://didongthongminh.vn/images/products/2022/03/10/resized/thiết-kế-không-tên-81_1646884454.jpg,6.750.000đ ,samsung,"6.4"" - Tần số quét 90 Hz ",5000 mAh ,,6 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-a23-4128gb-chinh-hang,Samsung Galaxy A23 4GB/128GB Chính Hãng ,https://didongthongminh.vn/images/products/2022/03/21/resized/xanh_1647830590.png,4.790.000đ ,samsung,6.6 inches ,5.000 mAh ,Snapdragon 680 (SM6225) ,4 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-a32-chinh-hang-4-camera-sau-pin-5000mah,Samsung Galaxy A32 6GB/128GB Chính Hãng,https://didongthongminh.vn/images/products/2022/01/11/resized/samsung-galaxy-a32-4g-thumb-xanh_1641864911.png,5.490.000đ ,samsung,"6.4"" - Tần số quét 90 Hz ",5000 mAh ,MediaTek Helio G80 8 nhân ,6 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-a52-chinh-hang-4-camera-sau-pin-4500mah-1,Samsung Galaxy A52 8GB/128GB Chính Hãng,https://didongthongminh.vn/images/products/anhphu/resized/thiet-ke-khong-ten-15.png?v=1627187590000,6.490.000đ ,samsung,"6.5"" ",4500 mAh ,Snapdragon 720G 8 nhân ,8 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-s22-ultra-12gb-256gb-chinh-hang,Samsung Galaxy S22 Ultra 12GB/256GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/10/resized/samsung-galaxy-s22-ultra-8gb-128gb-burgundy-chinh-hang_1644464894.png,26.590.000đ ,samsung,6.8 inch - 120Hz , 5000 mAh ,,8 GB ,256 GB 
https://didongthongminh.vn/samsung-galaxy-s22-ultra-8gb-128gb-chinh-hang,Samsung Galaxy S22 Ultra 8GB/128GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/10/resized/samsung-galaxy-s22-ultra-8gb-128gb-green-chinh-hang_1644465385.png,23.890.000đ ,samsung,6.8 inch - 120Hz ,5000 mAh ,,8 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-a03s-chinh-hang-moi,Samsung Galaxy A03S Chính Hãng 4/64Gb,https://didongthongminh.vn/images/products/2022/01/14/resized/samsung-galaxy-a03s-chinh-hang_1642135773.jpg,3.190.000đ ,samsung,"6.5"" - Tần số quét 60 Hz ",5000 mAh ,,,8 GB 
https://didongthongminh.vn/samsung-galaxy-z-flip-3-5g-chinh-hang,Samsung Galaxy Z Flip3 5G 8GB/128GB Chính hãng,https://didongthongminh.vn/images/products/anhphu/resized/galaxy-z-flip3-mau-kem.png?v=1632709753000,16.990.000đ ,samsung," Chính 6.7"" & Phụ 1.9"" - Tần số quét 120 Hz ",3300 mAh ,Snapdragon 888 8 nhân ,8 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-s21-fe-8gb-128gb,Samsung Galaxy S21 FE 8GB/128GB,https://didongthongminh.vn/images/products/2022/01/10/resized/samsung-galaxy-s21-fe-8gb-128gb-chinh-hang_xanh_oliver_1641784338.png,12.650.000đ ,samsung,"6.4 inch - 120Hz, HDR10 + ",4500 mAh ,,8 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-a03-3gb32gb-chinh-hang,Samsung Galaxy A03 3GB/32GB Chính Hãng,https://didongthongminh.vn/images/products/2022/01/14/resized/samsung-galaxy-a03-chinh-hang_1642135804.jpg,2.690.000đ ,samsung,"6.5"" - Tần số quét 60 Hz ",5000 mAh ,,3 GB ,32 GB 
https://didongthongminh.vn/samsung-galaxy-s22-plus-8gb-128gb-chinh-hang,Samsung Galaxy S22+ 8GB/128GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/10/resized/samsung-galaxy-s22-plus-8gb-128gb-green-chinh-hang_1644476996.png,19.290.000đ ,samsung,6.6 inch - 120Hz ,4500 mAh ,,8 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-a22-tien-phong-cong-nghe-camera-chong-rung-quang-hoc,Samsung Galaxy A22 6GB/128GB Chính hãng,https://didongthongminh.vn/images/products/2021/12/17/resized/3_1639709809.jpg,4.590.000đ ,samsung,"6.4"" - Tần số quét 90 Hz ",5000 mAh ,MediaTek MT6769V 8 nhân ,6 GB ,128 GB 
https://didongthongminh.vn/may-tinh-bang-samsung-galaxy-tab-a7-lite-sm-t225n,Máy tính bảng Samsung Galaxy Tab A7 Lite (SM-T225N),https://didongthongminh.vn/images/products/anhphu/resized/samsung-galaxy-tab-a7-lite-gray.png?v=1627054555000,3.650.000đ ,samsung,"8.7"" - Tần số quét Hãng không công bố ",5100 mAh ,MediaTek MT8768T 8 nhân ,3 GB  ,32 GB 
https://didongthongminh.vn/samsung-galaxy-s22-plus-8gb-256gb-chinh-hang,Samsung Galaxy S22+ 8GB/256GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/10/resized/samsung-galaxy-s22-8gb-256gb-green-chinh-hang_1644463257.png,20.590.000đ ,samsung,6.6 inch - 120Hz ,4500 mAh ,,8 GB ,256 GB 
https://didongthongminh.vn/samsung-galaxy-z-fold3-5g-chinh-hang,Samsung Galaxy Z Fold3 5G 12GB/256GB Chính hãng,https://didongthongminh.vn/images/products/anhphu/resized/galaxy-z-fold3-xanh.png?v=1628836857000,30.490.000đ ,samsung,"Chính 7.6"" & Phụ 6.2"" - Tần số quét 120 Hz ",4400 mAh ,Snapdragon 888 8 nhân ,12 GB ,256 GB 
https://didongthongminh.vn/samsung-galaxy-tab-s7-fe,Samsung Galaxy Tab S7 FE Chính Hãng,https://didongthongminh.vn/images/products/anhphu/resized/samsung-galaxy-tab-s7-fe-chinh-hang-01.png?v=1633398336000,12.690.000đ ,samsung,"12.4"" - Tần số quét 60 Hz ",10090 mAh ,Snapdragon 778G 8 nhân ,4 GB ,64 GB 
https://didongthongminh.vn/samsung-galaxy-tab-a7-10-4-2020-t505-pin-trau-7-040mah-sac-nhanh,Samsung Galaxy Tab A7 10.4″ 2020 (T505),https://didongthongminh.vn/images/products/anhphu/resized/tab-a7-gold-t505.png?v=1627187062000,6.790.000đ ,samsung,"10.4"" ",7040 mAh ,Snapdragon 662 8 nhân ,3 GB ,64 GB 
https://didongthongminh.vn/samsung-galaxy-s21-fe-8gb-256gb,Samsung Galaxy S21 FE 8GB/256GB,https://didongthongminh.vn/images/products/2022/01/10/resized/samsung-galaxy-s21-fe-8gb-128gb-chinh-hang_xanh_oliver_1641784076.png,13.590.000đ ,samsung,"6.4 inch - 120Hz, HDR10 + ",4500 mAh ,,8 GB ,256 GB 
https://didongthongminh.vn/samsung-galaxy-a13-4128gb-chinh-hang,Samsung Galaxy A13 4GB/128GB chính hãng,https://didongthongminh.vn/images/products/2022/03/22/resized/khong-co-tieu-de-500-×-500-px-9_1647887712.png,3.750.000đ ,samsung,6.6 inches ,5000 mAh ,Exynos 850 8 nhân ,4 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-s22-8gb-256gb-chinh-hang,Samsung Galaxy S22 8GB/256GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/10/resized/samsung-galaxy-s22-8gb-256gb-phantom-white-chinh-hang_1644462841.png,16.890.000đ ,samsung,6.1 inch - 120Hz ,3800 mAh ,,8 GB ,256 GB 
https://didongthongminh.vn/samsung-galaxy-tab-a8-2022,Samsung Galaxy Tab A8 2022 (X205),https://didongthongminh.vn/images/products/2022/01/12/resized/samsung-galaxy-tab-a8-2022-chinh-hang_1641971910.jpg,6.890.000đ ,samsung,"10.5"" ",7040 mAh ,UniSOC T618 ,4 GB ,64 GB 
https://didongthongminh.vn/samsung-galaxy-a12-pin-5000mah,Samsung Galaxy A12 Chính Hãng 128Gb,https://didongthongminh.vn/images/products/2022/01/14/resized/samsung-galaxy-a12-chinh-hang_1642135737.jpg,3.890.000đ ,samsung,"6.5"" - Tần số quét 60 Hz ",5000 mAh ,Mediatek MT6765 Helio G35 ( Bản 2021 chip Exynos 850 ) ,4 GB ,128 GB 
https://didongthongminh.vn/samsung-galaxy-s22-ultra-12gb-512gb-chinh-hang,Samsung Galaxy S22 Ultra 12GB/512GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/10/resized/samsung-galaxy-s22-ultra-8gb-128gb-phantom-black-chinh-hang_1644465663.png,29.990.000đ ,samsung,6.8 inch - 120Hz ,5000 mAh ,,12 GB ,512 GB 
https://didongthongminh.vn/xiaomi-redmi-10c-4gb-128gb-chinh-hang-dgw,Xiaomi Redmi 10C 4GB/128GB Chính Hãng,https://didongthongminh.vn/images/products/2022/03/21/resized/2_1647857566.jpg,3.390.000đ ,xiaomi,"6.71"" - Tần số quét 60 Hz ",5000 mAh ,Snapdragon 680 ,4 GB ,128 GB 
https://didongthongminh.vn/xiaomi-redmi-note-11-pro-8gb-128gb-chinh-hang,Xiaomi Redmi Note 11 Pro 8GB/128GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/17/resized/xiaomi-redmi-note-11-pro-8gb-128gb-xanh-chinh-hang-dgw_1645084385.png,6.450.000đ ,xiaomi,"6.67"" - Tần số quét 120 Hz ",5000 mAh ,,8 GB ,128 GB 
https://didongthongminh.vn/xiaomi-redmi-note-11-pro5g-8gb-128gb-chinh-hang,Xiaomi Redmi Note 11 Pro 5G 8GB/128GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/18/resized/xiaomi-redmi-note-11-pro-5g-xanh-chinh-hang_1645158863.png,7.690.000đ ,xiaomi,"6.67"" - Tần số quét 120 Hz ",5000 mAh ,,8 GB ,128 GB 
https://didongthongminh.vn/xiaomi-redmi-note-11-4g-dgw,Xiaomi Redmi Note 11 4G 4GB/64GB Chính hãng,https://didongthongminh.vn/images/products/2022/01/27/resized/redmi-note-11-4g-dgw-1_1643249453.png,3.990.000đ ,xiaomi,"6.43"" - Tần số quét 90 Hz ",5000 mAh ,Snapdragon 680 6nm ,4 GB ,64 GB 
https://didongthongminh.vn/xiaomi-redmi-note-11s-8gb-128gb-chinh-hang,Xiaomi Redmi Note 11S 8GB/128GB Chính hãng,https://didongthongminh.vn/images/products/2022/02/16/resized/xiaomi-redmi-note-11s-8gb-128gb-trang--chinh-hang-dgw_1645004626.png,5.790.000đ ,xiaomi,"6.43"" - Tần số quét 90 Hz ",5000 mAh ,,8 GB ,128 GB 
https://didongthongminh.vn/tecno-spark-6-go-4gb-64gb,Tecno Spark 6 Go 4G/64GB Chính Hãng,https://didongthongminh.vn/images/products/2022/02/23/resized/tecno-spark-6-go-2_1645587625.jpg,2.490.000đ ,tecno,"6.52 inches, 102.6 cm2 (~81.2% screen-to-body ratio) ",5000mAH ,, 4 GB ,64 GB 
https://didongthongminh.vn/tecno-pop-5-lte-2gb-32gb,Tecno POP 5 LTE 2GB/32GB Chính Hãng,https://didongthongminh.vn/images/products/2021/12/17/resized/1_1639712264.png,2.190.000đ ,tecno,"6.517"" ",5.000 mAh ,,2 GB ,32 GB 
https://didongthongminh.vn/tecno-spark-7t-4gb-64gb,Tecno Spark 7T 4GB/64GB Chính Hãng,https://didongthongminh.vn/images/products/anhphu/resized/tecno-spark-7t-1.png,2.750.000đ ,tecno,"6.52"" ",6000 mAh ,,4 GB ,64 GB 
