images_intro,price,title,hot_line,link_source,point,rating_total,star_percent_list,branch,Công nghệ màn hình,Độ phân giải,Màn hình rộng,Camera sau,Quay phim,Camera trước,Hệ điều hành,Chipset (hãng SX CPU),Tốc độ CPU,Bộ nhớ trong,Mạng di động,Wifi,Bluetooth,Cổng kết nối/sạc
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-aar-xanh-la-didongviet.jpg,22.590.000₫,iPhone 13 256GB Xanh Lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-256gb-xanh-la-cay.html,4.5,,,iPhone,OLED,1170 x 2532 Pixels,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,12 MP,iOS 15,Apple A15 Bionic,,256 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-13-pro-aar-xanh-la-didongviet_4.jpg,27.990.000₫,iPhone 13 Pro Max 128GB Xanh lá Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-13-pro-max-128gb-mau-xanh-la-cay.html,4.5,,,iPhone,Super Retina XDR - ProMotion,2778 x 1284 pixel,"6.7"" - Tần số quét 120Hz",3 camera 12 MP,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,12 MP,iOS 15,Apple A15 Bionic,,128 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","5.2, A2DP, LE, aptX HD",Lightning
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s22-128gb-didongviet_1.jpg,17.590.000₫,Samsung Galaxy S22 5G (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-s22-128gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),"6.1"" - Tần số quét 120Hz",50 MP + 12 MP + 10 MP,UHD 8K (7680 x 4320)@24fps,10 MP,Android 12 - OneUI 4.0,Qualcomm Snapdragon 8 Gen 1,1 nhân 2.99 GHz &amp; 3 nhân 2.4 GHz &amp; 4 nhân 1.7 GHz,128 GB,Hỗ trợ 5G,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",v5.2,Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s22-ultra-512gb-didongviet.jpg,30.590.000₫,Samsung Galaxy S22 Ultra 5G (12GB|512GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-s22-ultra-512gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,QHD+ (1440 x 3088 pixels),"6.8"" - Tần số quét 120Hz",108 MP + 12 MP + 10 MP + 10 MP,8K@24fps / 4K@30/60fps / 1080p@30/60/240fps / 720p@960fps / HDR10+ stereo sound rec. / gyro-EIS,40 MP,Android 12 - OneUI 4.0,Qualcomm Snapdragon 8 Gen 1,1 nhân 3.0 GHz &amp; 3 nhân 2.5 GHz &amp; 4 nhân 1.8 GHz,512 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s22-plus-128gb-didongviet.jpg,20.990.000₫,Samsung Galaxy S22 Plus 5G (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-s22-plus-128gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1080 x 2430 Pixels),"6.6"" - Tần số quét 120Hz",50 MP + 12 MP + 12 MP,UHD 8K (7680 x 4320)@24fps,10 MP,Android 12 - OneUI 4.0,Qualcomm Snapdragon 8 Gen 1,1 nhân 2.99 GHz &amp; 3 nhân 2.4 GHz &amp; 4 nhân 1.7 GHz,128 GB,5G,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",v5.2,Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s21-fe-fan-edition-didongviet_.jpg,10.990.000₫,Samsung Galaxy S21 FE (6GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-s21-fe-6gb-128gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),"6.4"" - Tần số quét 120Hz",12 MP + 12 MP + 8 MP,4K@30/60FPS / 1080P@30/60FPS (gyro-EIS),32 MP,Android 12 - OneUI 4.0,Exynos 2100 (5 nm),1 nhân 2.9 GHz &amp; 3 nhân 2.8 GHz &amp; 4 nhân 2.2 GHz,128 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.0,Type-C
https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-s21-fe-8gb-128gb-didongviet.jpg,12.490.000₫,Samsung Galaxy S21 FE (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-s21-fe-8gb-128gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),"6.4"" - Tần số quét 120Hz",12 MP + 12 MP + 8 MP,4K@30/60FPS / 1080P@30/60FPS (gyro-EIS),32 MP,Android 12 - OneUI 4.0,Exynos 2100 (5 nm),1 nhân 2.9 GHz &amp; 3 nhân 2.8 GHz &amp; 4 nhân 2.2 GHz,128 GB,5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","v5.2, A2DP, LE",USB Type-C
https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-s21-fe-12gb-256gb-didongviet.jpg,13.490.000₫,Samsung Galaxy S21 FE (8GB|256GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-s21-fe-8gb-256gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),6.4 inch - Tần số quét 120Hz,12 MP + 12 MP + 8 MP,4K@30/60FPS / 1080P@30/60FPS (gyro-EIS),32 MP,Android 12 - OneUI 4.0,Exynos 2100,1 nhân 2.9 GHz &amp; 3 nhân 2.8 GHz &amp; 4 nhân 2.2 GHz,256 GB,,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,"v5.2, A2DP, LE",USB Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s22-ultra-128gb-didongviet_1.jpg,25.290.000₫,Samsung Galaxy S22 Ultra 5G (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/samsung-galaxy-s22-ultra-128gb.html,4.5,,,Samsung,Dynamic AMOLED 2X,QHD+ (1440 x 3088 pixels),"6.8"" - Tần số quét 120Hz",108 MP + 12 MP + 10 MP + 10 MP,8K@24fps / 4K@30/60fps / 1080p@30/60/240fps / 720p@960fps / HDR10+ stereo sound rec. / gyro-EIS,40 MP,Android 12 - OneUI 4.0,Qualcomm Snapdragon 8 Gen 1,1 nhân 3.0 GHz &amp; 3 nhân 2.5 GHz &amp; 4 nhân 1.8 GHz,128 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s21-fe-128gb-6gb-bhdt-didongviet_1.jpeg,11.990.000₫,Samsung Galaxy S21 FE (8GB|128GB) Chính Hãng (BHĐT),1800.6018,https://didongviet.vn/samsung-galaxy-s21-fe-128gb-8gb-bhdt.html,4.5,,,Samsung,,,,,,,,,,,,,,
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s22-plus-128gb-bhdt-didongviet_1.jpeg,20.290.000₫,Samsung Galaxy S22 Plus 5G (8GB|256GB) Chính Hãng (BHDT),1800.6018,https://didongviet.vn/samsung-galaxy-s22-plus-256gb-bhdt.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1080 x 2430 Pixels),"6.6"" - Tần số quét 120Hz",50 MP + 12 MP + 12 MP,UHD 8K (7680 x 4320)@24fps,10 MP,Android 12 - OneUI 4.0,Qualcomm Snapdragon 8 Gen 1,1 nhân 2.99 GHz &amp; 3 nhân 2.4 GHz &amp; 4 nhân 1.7 GHz,256 GB,Hỗ trợ 5G,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",v5.2,Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s22-plus-128gb-bhdt-didongviet.jpeg,18.790.000₫,Samsung Galaxy S22 Plus 5G (8GB|128GB) Chính Hãng (BHDT),1800.6018,https://didongviet.vn/samsung-galaxy-s22-plus-128gb-bhdt.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1080 x 2430 Pixels),"6.6"" - Tần số quét 120Hz",50 MP + 12 MP + 12 MP,UHD 8K (7680 x 4320)@24fps,10 MP,Android 12 - OneUI 4.0,Qualcomm Snapdragon 8 Gen 1,1 nhân 2.99 GHz &amp; 3 nhân 2.4 GHz &amp; 4 nhân 1.7 GHz,128 GB,Hỗ trợ 5G,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",v5.2,Type-C
https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s22-128gb-bhdt-didongviet_1.jpg,16.690.000₫,Samsung Galaxy S22 5G (8GB|256GB) Chính Hãng (BHDT),1800.6018,https://didongviet.vn/samsung-galaxy-s22-256gb-bhdt.html,4.5,,,Samsung,Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),"6.1"" - Tần số quét 120Hz",50 MP + 12 MP + 10 MP,UHD 8K (7680 x 4320)@24fps,10 MP,Android 12 - OneUI 4.0,Qualcomm Snapdragon 8 Gen 1,1 nhân 2.99 GHz &amp; 3 nhân 2.4 GHz &amp; 4 nhân 1.7 GHz,256 GB,Hỗ trợ 5G,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",v5.2,Type-C
